43, 14.50
38, 14.76
42, 13.59
36, 12.40
38, 13.43
35, 14.13
32, 15.13
42, 15.20
39, 13.32
39, 15.88
38, 12.55
38, 14.17
38, 16.16
36, 15.27
37, 12.52
40, 13.34
36, 14.06
38, 14.21
42, 13.12
39, 14.71
37, 16.56
41, 14.15
38, 13.65
37, 11.12
40, 14.85
37, 14.64
44, 13.35
40, 14.18
38, 14.64
39, 13.61
38, 14.57
40, 15.95
36, 12.91
40, 16.19
37, 15.81
41, 14.53
38, 14.41
39, 15.73
34, 16.17
37, 14.27
43, 14.25
38, 12.69
38, 16.40
39, 13.24
40, 15.98
38, 15.74
35, 13.92
44, 13.84
38, 14.78
40, 14.98
37, 15.80
42, 14.21
39, 14.73
36, 14.70
37, 13.86
40, 14.83
37, 15.70
40, 14.05
37, 14.88
40, 14.01
38, 14.68
43, 14.83
40, 13.25
38, 14.84
41, 16.75
37, 12.85
37, 13.81
39, 14.52
41, 14.37
43, 15.62
38, 14.72
41, 15.77
39, 14.25
43, 13.27
41, 14.06
38, 13.57
41, 15.56
42, 13.90
38, 14.63
42, 13.00
40, 14.19
37, 14.49
36, 13.97
41, 15.08
40, 15.62
39, 14.90
41, 12.32
41, 13.15
41, 13.65
35, 15.87
38, 14.45
36, 16.50
40, 13.61
41, 13.60
40, 13.03
39, 14.51
41, 13.39
40, 14.79
37, 14.90
39, 13.74
